OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,REGION,YEAR,WEEK,PERC_UNWEIGHTED_ILI,ILITOTAL,NUM_OF_PROVIDERS,TOTAL_PATIENTS,SEASON_WEEK,REGION_1,FREQUENCY,SUM_TOTAL_PATIENTS,SUM_ILITOTAL,MEAN_PERC_UNWEIGHTED_ILI,STATEFP_1,STATENS_1,AFFGEOID_1,GEOID_1,STUSPS_1,NAME_1,LSAD_1,ALAND_1,AWATER_1,Shape_Length_1,Shape_Area_1,REGION_12,YEAR_1,WEEK_1,PERC_UNWEIGHTED_ILI_1,ILITOTAL_1,NUM_OF_PROVIDERS_1,TOTAL_PATIENTS_1,SEASON_WEEK_1,REGION_12_13,FREQUENCY_1,SUM_TOTAL_SPECIMENS,SUM_TOTAL_A,SUM_TOTAL_B,MEAN_PERCENT_POSITIVE,MEAN_PERCENT_A,MEAN_PERCENT_B,STR_DOMINANCE,TOTAL_HH,MULTIGEN_HH,OTHER_HH,STATE,PCT_MULTIGEN
1,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,Mississippi,2018,40,1.93019,339,44,17563,1,Mississippi,52,855454,27195,3.048508981,28,1779790,0400000US28,28,MS,Mississippi,0,1.21534E+11,3926919758,2710950,1.44035E+11,Mississippi,2018,40,1.93019,339,44,17563,1,Mississippi,46,3593,448,33,6.942173913,5.39826087,1.54326087,Type A Dominant,1100229,51970,1048259,Mississippi,4.723562095
2,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,North Carolina,2018,40,0.866783,856,148,98756,1,North Carolina,52,5217781,95485,1.757874654,37,1027616,0400000US37,37,NC,North Carolina,0,1.25924E+11,13466071395,4118562.249,1.35785E+11,North Carolina,2018,40,0.866783,856,148,98756,1,North Carolina,52,18926,2163,174,5.991153846,5.178846154,0.8125,Type A Dominant,4046348,130123,3916225,North Carolina,3.21581337
3,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,Oklahoma,2018,40,1.66568,113,22,6784,1,Oklahoma,52,356436,12126,3.008851288,40,1102857,0400000US40,40,OK,Oklahoma,0,1.77663E+11,3374587997,3011262.386,2.29999E+11,Oklahoma,2018,40,1.66568,113,22,6784,1,Oklahoma,52,14052,1116,36,4.343076923,4.137307692,0.206153846,Type A Dominant,1495151,48076,1447075,Oklahoma,3.215461181
4,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,Virginia,2018,40,1.52388,1373,128,90099,1,Virginia,52,4566421,123138,2.683190154,51,1779803,0400000US51,51,VA,Virginia,0,1.02258E+11,8528531774,3301300.222,1.09993E+11,Virginia,2018,40,1.52388,1373,128,90099,1,Virginia,52,18562,2041,87,6.064230769,5.799615385,0.264615385,Type A Dominant,3191847,115957,3075890,Virginia,3.632912229
5,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,West Virginia,2018,40,0.80433,107,44,13303,1,West Virginia,52,552128,10674,1.577206,54,1779805,0400000US54,54,WV,West Virginia,0,62266474513,489028543,2034424.598,66452437256,West Virginia,2018,40,0.80433,107,44,13303,1,West Virginia,52,30494,2457,73,4.871923077,4.655961538,0.215,Type A Dominant,728175,20991,707184,West Virginia,2.882686167
6,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,Louisiana,2018,40,2.47737,1256,95,50699,1,Louisiana,52,2577079,106172,3.967545385,22,1629543,0400000US22,22,LA,Louisiana,0,1.11898E+11,23753621895,4319631.385,1.47604E+11,Louisiana,2018,40,2.47737,1256,95,50699,1,Louisiana,52,19783,1900,189,6.248076923,5.207884615,1.040769231,Type A Dominant,1741076,62685,1678391,Louisiana,3.600359778
7,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,Michigan,2018,40,1.02859,281,85,27319,1,Michigan,52,1184294,15688,1.291306058,26,1779789,0400000US26,26,MI,Michigan,0,1.46601E+11,1.03886E+11,5492284.244,1.63098E+11,Michigan,2018,40,1.02859,281,85,27319,1,Michigan,52,62208,7678,971,8.545576923,7.277307692,1.268076923,Type A Dominant,3969880,113348,3856532,Michigan,2.855199653
8,25,606926,0400000US25,25,MA,Massachusetts,0,20205125364,7129925486,Massachusetts,2018,40,1.00768,505,57,50115,1,Massachusetts,52,2458986,40031,1.605410192,25,606926,0400000US25,25,MA,Massachusetts,0,20205125364,7129925486,1642615.457,21514514234,Massachusetts,2018,40,1.00768,505,57,50115,1,Massachusetts,52,36775,4968,690,9.235192308,7.722884615,1.511923077,Type A Dominant,2650680,93158,2557522,Massachusetts,3.514494394
9,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,Idaho,2018,40,0.52459,8,6,1525,1,Idaho,52,56051,723,0.903606908,16,1779783,0400000US16,16,ID,Idaho,0,2.1405E+11,2391722557,3512647.108,3.15525E+11,Idaho,2018,40,0.52459,8,6,1525,1,Idaho,30,3182,509,24,12.20466667,11.57466667,0.63,Type A Dominant,655859,18788,637071,Idaho,2.864640113
10,12,294478,0400000US12,12,FL,Florida,0,1.38949E+11,31361101223,Florida,2018,40,0.951278,156,59,16399,1,Florida,52,811610,10762,1.268250635,12,294478,0400000US12,12,FL,Florida,0,1.38949E+11,31361101223,4749382.956,1.65116E+11,Florida,2018,40,0.951278,156,59,16399,1,Florida,52,110980,13321,3236,13.30903846,9.995192308,3.313653846,Type A Dominant,7905832,319325,7586507,Florida,4.039106826
11,31,1779792,0400000US31,31,NE,Nebraska,0,1.98957E+11,1371829134,Nebraska,2018,40,1.94323,89,47,4580,1,Nebraska,52,413733,11796,2.745280635,31,1779792,0400000US31,31,NE,Nebraska,0,1.98957E+11,1371829134,2441993.77,2.5092E+11,Nebraska,2018,40,1.94323,89,47,4580,1,Nebraska,52,7067,980,10,7.101538462,6.991923077,0.109423077,Type A Dominant,771444,16661,754783,Nebraska,2.159716065
12,53,1779804,0400000US53,53,WA,Washington,0,1.72113E+11,12559278850,Washington,2018,40,0.34384,24,29,6980,1,Washington,52,258202,2721,0.984563592,53,1779804,0400000US53,53,WA,Washington,0,1.72113E+11,12559278850,5200946.139,2.60149E+11,Washington,2018,40,0.34384,24,29,6980,1,Washington,52,51459,7151,199,7.794230769,7.423076923,0.371538462,Type A Dominant,2932477,95343,2837134,Washington,3.251278697
13,35,897535,0400000US35,35,NM,New Mexico,0,3.14196E+11,728776523,New Mexico,2018,40,0.852188,171,47,20066,1,New Mexico,52,1010528,23788,2.245640712,35,897535,0400000US35,35,NM,New Mexico,0,3.14196E+11,728776523,2902726.704,4.6252E+11,New Mexico,2018,40,0.852188,171,47,20066,1,New Mexico,46,13476,1615,28,8.428913043,8.243478261,0.185,Type A Dominant,793420,34118,759302,New Mexico,4.300118474
15,46,1785534,0400000US46,46,SD,South Dakota,0,1.96347E+11,3382720225,South Dakota,2018,40,0.944063,147,32,15571,1,South Dakota,52,795734,8363,1.011026154,46,1785534,0400000US46,46,SD,South Dakota,0,1.96347E+11,3382720225,2302118.292,2.45675E+11,South Dakota,2018,40,0.944063,147,32,15571,1,South Dakota,52,3344,106,2,2.766153846,2.705,0.061153846,Type A Dominant,353799,7015,346784,South Dakota,1.982764225
